field_id,sport_id,day_of_week,hour,is_weekend,month,price,is_peak_hour,was_booked
f3,football,1,11,0,12,482098,0,1
f3,football,6,21,1,12,521482,1,1
f2,football,1,7,0,2,480495,0,0
f1,table-tennis,2,20,0,12,441924,1,1
f1,tennis,5,20,0,5,250851,1,1
f1,tennis,4,11,0,6,370379,0,1
f2,football,1,6,0,7,497052,0,0
f3,tennis,7,20,1,1,310217,1,1
f2,football,5,17,0,5,532397,1,1
f2,football,2,4,0,12,356006,0,0
f2,football,7,19,1,4,463238,1,1
f2,table-tennis,7,10,1,6,398520,0,1
f3,tennis,6,20,1,11,259358,1,1
f1,tennis,6,10,1,4,410589,0,1
f3,table-tennis,5,17,0,4,392504,1,0
f1,football,7,20,1,1,491347,1,1
f1,football,5,14,0,12,477869,0,0
f2,football,4,10,0,3,368301,0,1
f3,football,3,21,0,12,406155,1,0
f2,tennis,2,16,0,3,314686,0,1
f1,football,2,10,0,11,539192,0,0
f1,tennis,4,13,0,10,319352,0,1
f3,football,6,7,1,12,539353,0,0
f2,badminton,3,12,0,2,406985,0,1
f1,badminton,6,16,1,5,449871,0,1
f1,football,3,16,0,11,429818,0,1
f2,football,5,22,0,9,450074,0,0
f2,football,1,20,0,6,490306,1,1
f1,football,1,20,0,2,413699,1,0
f3,football,2,14,0,11,522063,0,1
f3,badminton,4,23,0,4,420686,0,0
f3,football,6,14,1,5,538039,0,0
f2,tennis,4,9,0,2,379451,0,1
f1,football,5,21,0,4,378864,1,1
f3,football,1,4,0,4,354117,0,0
f1,badminton,2,21,0,5,413624,1,1
f1,football,5,14,0,10,381850,0,0
f2,football,1,21,0,2,506498,1,1
f2,tennis,7,3,1,12,338259,0,0
f3,football,1,20,0,7,494473,1,0
f1,football,2,18,0,4,508800,1,1
f1,tennis,4,19,0,4,259880,1,1
f3,football,1,18,0,11,451934,1,0
f1,football,4,14,0,8,478016,0,0
f1,football,4,13,0,1,484760,0,0
f2,tennis,4,23,0,12,345748,0,0
f3,table-tennis,6,9,1,8,374890,0,1
f1,badminton,6,3,1,9,448038,0,0
f1,football,4,22,0,9,419615,0,0
f3,football,7,4,1,3,527992,0,1
f1,tennis,1,9,0,10,325880,0,0
f3,football,4,21,0,11,524085,1,1
f2,football,6,14,1,12,481285,0,1
f1,football,6,13,1,5,391441,0,0
f1,football,4,20,0,10,463104,1,1
f1,football,3,23,0,3,395745,0,0
f1,tennis,3,12,0,3,321200,0,0
f3,table-tennis,5,21,0,1,422692,1,1
f3,football,2,7,0,5,464029,0,0
f1,tennis,3,7,0,10,344058,0,0
f3,football,7,16,1,5,414032,0,1
f1,football,6,17,1,7,486265,1,1
f2,football,6,10,1,5,547154,0,0
f3,tennis,5,7,0,1,259862,0,0
f3,football,5,17,0,1,498393,1,1
f1,tennis,2,13,0,1,297795,0,0
f1,tennis,2,9,0,11,337416,0,1
f3,tennis,5,9,0,12,281029,0,0
f1,tennis,1,21,0,3,293540,1,1
f2,table-tennis,7,20,1,12,382527,1,1
f3,football,4,18,0,1,511694,1,1
f2,tennis,3,8,0,4,253101,0,0
f2,tennis,3,23,0,2,286585,0,0
f3,tennis,6,15,1,9,253617,0,1
f2,football,5,2,0,5,464208,0,0
f2,table-tennis,7,16,1,6,429457,0,0
f1,tennis,5,10,0,4,255817,0,0
f1,badminton,7,17,1,9,444297,1,0
f3,table-tennis,2,16,0,6,359171,0,0
f2,tennis,3,18,0,11,366334,1,1
f2,badminton,3,15,0,11,392753,0,0
f2,table-tennis,2,15,0,4,437153,0,0
f3,badminton,2,20,0,10,389446,1,1
f1,tennis,3,16,0,4,326019,0,0
f2,tennis,4,17,0,8,278010,1,1
f3,football,6,12,1,2,517561,0,0
f3,tennis,1,17,0,4,290687,1,1
f1,football,1,9,0,1,512277,0,0
f1,tennis,4,20,0,11,275485,1,1
f2,tennis,4,9,0,4,335990,0,0
f1,tennis,2,20,0,3,341214,1,1
f1,football,2,13,0,2,367477,0,0
f3,table-tennis,5,14,0,10,448992,0,0
f3,table-tennis,5,17,0,7,421810,1,1
f1,football,7,12,1,8,383972,0,0
f3,tennis,7,15,1,9,332149,0,1
f2,football,6,9,1,5,485614,0,1
f3,football,2,8,0,3,500205,0,0
f3,football,1,15,0,7,493369,0,0
f2,football,2,13,0,7,526556,0,0
f1,badminton,4,0,0,8,396105,0,0
f2,tennis,5,21,0,12,321582,1,1
f1,tennis,2,16,0,5,313654,0,1
f2,football,6,20,1,7,371632,1,0
f1,tennis,5,22,0,1,401645,0,0
f3,football,1,16,0,11,467786,0,0
f1,football,3,14,0,7,477742,0,0
f2,tennis,3,10,0,7,260735,0,0
f3,football,1,8,0,6,435215,0,1
f3,football,7,22,1,1,482411,0,0
f1,tennis,2,8,0,4,412070,0,0
f3,football,4,10,0,12,498351,0,1
f3,football,6,18,1,2,371465,1,0
f1,football,1,20,0,5,438781,1,0
f2,tennis,6,4,1,4,327607,0,0
f3,football,1,18,0,12,489529,1,0
f3,football,7,19,1,10,455383,1,1
f2,tennis,3,16,0,2,434874,0,1
f2,tennis,1,23,0,7,297472,0,0
f2,badminton,2,11,0,7,446180,0,0
f3,tennis,5,18,0,9,313372,1,1
f3,football,3,18,0,6,382177,1,0
f1,tennis,4,17,0,4,310910,1,1
f3,tennis,3,15,0,1,292600,0,1
f1,tennis,7,15,1,5,286655,0,0
f3,tennis,5,17,0,1,275042,1,1
f3,tennis,4,17,0,9,281499,1,1
f3,football,4,19,0,8,352260,1,1
f1,tennis,6,13,1,4,337026,0,0
f2,table-tennis,5,16,0,6,447771,0,0
f2,football,4,13,0,5,382951,0,1
f3,football,3,21,0,2,520236,1,0
f3,football,2,21,0,4,513464,1,1
f3,badminton,5,6,0,5,375443,0,0
f2,football,3,19,0,1,520010,1,1
f1,football,5,18,0,5,466551,1,1
f2,football,7,20,1,1,487268,1,1
f2,tennis,2,10,0,1,312616,0,1
f1,tennis,4,20,0,2,332502,1,1
f1,football,7,22,1,10,489824,0,1
f1,football,5,17,0,7,528135,1,1
f1,football,4,22,0,8,408028,0,0
f3,tennis,3,18,0,10,257894,1,1
f3,football,7,19,1,4,477659,1,1
f1,football,2,19,0,3,459838,1,1
f2,tennis,6,14,1,10,288175,0,1
f2,table-tennis,3,19,0,12,409510,1,1
f1,tennis,7,21,1,11,336662,1,0
f1,tennis,1,8,0,9,334886,0,1
f2,football,1,10,0,1,490319,0,0
f3,tennis,4,13,0,2,340266,0,1
f2,tennis,5,15,0,9,307377,0,1
f1,tennis,6,17,1,6,282816,1,1
f1,tennis,7,21,1,10,352719,1,0
f3,tennis,5,17,0,1,349125,1,1
f3,badminton,4,11,0,5,426720,0,0
f2,football,4,15,0,6,493687,0,1
f1,football,3,18,0,7,514942,1,1
f2,tennis,1,5,0,8,391224,0,0
f1,tennis,7,21,1,9,250150,1,1
f3,tennis,4,6,0,1,317952,0,0
f2,football,4,7,0,1,385003,0,0
f2,tennis,6,7,1,8,253783,0,0
f3,football,6,13,1,3,522199,0,1
f2,football,2,13,0,2,465396,0,0
f1,tennis,6,16,1,5,342459,0,1
f2,tennis,2,19,0,8,268958,1,1
f3,football,6,19,1,3,359150,1,1
f2,tennis,7,11,1,9,250336,0,1
f2,tennis,5,15,0,11,369476,0,0
f2,tennis,3,17,0,9,321228,1,1
f2,football,6,20,1,4,500196,1,1
f2,football,3,14,0,12,542435,0,0
f2,tennis,6,9,1,11,314923,0,0
f1,football,5,19,0,6,363154,1,0
f2,football,5,0,0,8,544692,0,0
f3,football,1,19,0,8,484737,1,1
f3,tennis,6,18,1,2,293065,1,0
f3,tennis,3,19,0,11,349536,1,1
f3,football,5,9,0,2,532727,0,0
f2,football,6,16,1,2,462903,0,0
